Pos, Norm, UV 
{0.351563, 0.242188, 0.828125}	{0.189764, -0.003571, 0.981811}	{0.315596, 0.792535} 
{0.445313, 0.15625, 0.78125}	{0.646809, -0.758202, 0.082095}	{0, 0.331462} 
{0.476563, 0.242188, 0.773438}	{0.999573, -0.014496, -0.024445}	{0.787091, 0} 
{-0.476563, 0.242188, 0.773438}	{-0.999573, -0.014496, -0.024445}	{0.331944, 0.799704} 
{-0.445313, 0.15625, 0.78125}	{-0.646809, -0.758202, 0.082095}	{0, 0.049262} 
{-0.351563, 0.242188, 0.828125}	{-0.189764, -0.003571, 0.981811}	{0.798007, 0} 
{0.351563, 0.117188, 0.804688}	{-0.085788, -0.982971, 0.162389}	{0.050304, 0.785428} 
{-0.351563, 0.117188, 0.804688}	{0.085788, -0.982971, 0.162389}	{0, 0.065913} 
{0.265625, 0.15625, 0.820313}	{-0.744835, -0.623768, 0.236824}	{0.79157, 0} 
{-0.265625, 0.15625, 0.820313}	{0.744835, -0.623768, 0.236824}	{0.321453, 0.778649} 
{0.226563, 0.242188, 0.820313}	{-0.870968, -0.01471, 0.491104}	{0, 0.060677} 
{-0.226563, 0.242188, 0.820313}	{0.870968, -0.01471, 0.491104}	{0.777438, 0} 
{0.265625, 0.335938, 0.820313}	{-0.758354, 0.606128, 0.239692}	{0.310368, 0.778802} 
{-0.265625, 0.335938, 0.820313}	{0.758354, 0.606128, 0.239692}	{0, 0.071744} 
{0.351563, 0.375, 0.804688}	{-0.085788, 0.982513, 0.165105}	{0.778083, 0} 
{-0.351563, 0.375, 0.804688}	{0.085788, 0.982513, 0.165105}	{0.302416, 0.78656} 
{0.445313, 0.335938, 0.78125}	{0.655141, 0.750633, 0.085574}	{0, 0.079345} 
{-0.445313, 0.335938, 0.78125}	{-0.655141, 0.750633, 0.085574}	{0.786186, 0} 
{0.09375, -0.75, 0.664063}	{-0.349284, -0.719932, 0.599719}	{0.301514, 0.798474} 
{0.046875, -0.851563, 0.632813}	{-0.173681, 0.215735, 0.960845}	{0, 0.079717} 
{0.09375, -0.8125, 0.640625}	{-0.809839, 0.388287, 0.439741}	{0.798128, 0} 
{-0.09375, -0.8125, 0.640625}	{0.809839, 0.388287, 0.439741}	{0.30874, 0.806873} 
{-0.046875, -0.851563, 0.632813}	{0.173681, 0.215735, 0.960845}	{0, 0.072125} 
{-0.09375, -0.75, 0.664063}	{0.349284, -0.719932, 0.599719}	{0.806199, 0} 
{0, 0.40625, 0.601563}	{0, 0.794183, 0.607654}	{0.321648, 0.808687} 
{0.109375, 0.460938, 0.609375}	{-0.508652, 0.858119, -0.069887}	{0, 0.059149} 
{0, 0.570313, 0.570313}	{0, 0.487075, 0.873348}	{0.807438, 0} 
{0, 0.570313, 0.570313}	{0, 0.487075, 0.873348}	{0.048462, 0.201858} 
{-0.109375, 0.460938, 0.609375}	{0.508652, 0.858119, -0.069887}	{0, 0.040084} 
{0, 0.40625, 0.601563}	{0, 0.794183, 0.607654}	{0.207259, 0} 
{0.21875, -0.28125, 0.429688}	{0.981414, -0.186682, 0.043947}	{0.043232, 0.202821} 
{0.210938, -0.390625, 0.164063}	{0.569811, -0.821711, 0.007813}	{0, 0.043249} 
{0.40625, -0.171875, 0.148438}	{0.563463, -0.81457, 0.137669}	{0.220655, 0} 
{-0.40625, -0.171875, 0.148438}	{-0.563463, -0.81457, 0.137669}	{0.040093, 0.216224} 
{-0.210938, -0.390625, 0.164063}	{-0.569811, -0.821711, 0.007813}	{0, 0.04848} 
{-0.21875, -0.28125, 0.429688}	{-0.981414, -0.186682, 0.043947}	{0.221607, 0} 
{0.4375, -0.09375, 0.46875}	{0.475845, -0.876247, 0.075381}	{0.56371, 0.64922} 
{0.203125, -0.171875, 0.5}	{0.85052, -0.525529, -0.020692}	{0, 0.540594} 
{0.210938, -0.226563, 0.46875}	{0.876949, -0.163823, 0.451766}	{0.657349, 0} 
{-0.210938, -0.226563, 0.46875}	{-0.876949, -0.163823, 0.451766}	{0.547067, 0.627433} 
